iter	MultiClass
0	1.826077155
1	1.73230087
2	1.64754365
3	1.580558366
4	1.529610626
5	1.474106409
6	1.433261626
7	1.392120982
8	1.351947614
9	1.321250192
10	1.295275936
11	1.270933194
12	1.244474889
13	1.218921156
14	1.197424926
15	1.181078123
16	1.166996332
17	1.150216421
18	1.139047146
19	1.124125753
20	1.11046057
21	1.100892306
22	1.087545543
23	1.077438858
24	1.065725591
25	1.055293639
26	1.048503145
27	1.041037707
28	1.032206951
29	1.021040406
30	1.013430722
31	1.006002664
32	0.9985195476
33	0.9893565084
34	0.9821176565
35	0.9753150156
36	0.96869991
37	0.9630994108
38	0.9590100862
39	0.9529678432
40	0.9467041766
41	0.9424848436
42	0.9380966561
43	0.9331210867
44	0.9277803299
45	0.9248751655
46	0.9203872238
47	0.9158088886
48	0.9110552763
49	0.9069581597
50	0.902043517
51	0.8977073704
52	0.8920548126
53	0.8901785498
54	0.8840782844
55	0.8806728284
56	0.878058407
57	0.8747859055
58	0.8693582719
59	0.8634335443
60	0.8598790473
61	0.8553005575
62	0.8523521113
63	0.8505082599
64	0.847048939
65	0.8436332126
66	0.84219565
67	0.8385963797
68	0.8360264213
69	0.8328570763
70	0.8313323713
71	0.8284030389
72	0.8261832228
73	0.8230397553
74	0.8193281411
75	0.8168059948
76	0.8129284192
77	0.8090499734
78	0.8068319315
79	0.8025766403
80	0.8001748045
81	0.7977893535
82	0.7953416819
83	0.7925621411
84	0.7893416953
85	0.7862303759
86	0.7843666218
87	0.7822524973
88	0.7805668135
89	0.7782751503
90	0.7762109134
91	0.7747969398
92	0.7731033107
93	0.7708680758
94	0.7692521544
95	0.7668321904
96	0.7648855714
97	0.7636124615
98	0.7619388932
99	0.7598821816
100	0.7567222614
101	0.7543954103
102	0.7509862307
103	0.7496750044
104	0.7474602514
105	0.7460012714
106	0.7445451064
107	0.743120019
108	0.739880658
109	0.7375486934
110	0.7353512278
111	0.7331499083
112	0.7315650188
113	0.7298892989
114	0.7282078741
115	0.7267916387
116	0.7252514389
117	0.7231834774
118	0.7193561137
119	0.7183701593
120	0.7158221827
121	0.7149026321
122	0.7135643948
123	0.7127499833
124	0.7112908858
