iter	Passed	Remaining
0	209	209214
1	273	136405
2	337	112265
3	403	100422
4	466	92754
5	528	87513
6	588	83548
7	659	81758
8	721	79493
9	788	78094
10	853	76699
11	912	75166
12	977	74240
13	1039	73190
14	1106	72649
15	1162	71480
16	1225	70879
17	1287	70233
18	1344	69417
19	1403	68749
20	1465	68315
21	1523	67721
22	1581	67183
23	1646	66940
24	1712	66790
25	1769	66279
26	1830	65958
27	1890	65631
28	1951	65349
29	2019	65304
30	2081	65048
31	2139	64721
32	2204	64595
33	2268	64455
34	2326	64154
35	2389	63981
36	2443	63598
37	2497	63233
38	2580	63580
39	2655	63731
40	2731	63882
41	2807	64029
42	2873	63957
43	2934	63762
44	3016	64020
45	3089	64066
46	3170	64286
47	3240	64265
48	3296	63974
49	3366	63956
50	3425	63743
51	3484	63527
52	3551	63454
53	3621	63450
54	3689	63394
55	3746	63148
56	3808	63005
57	3863	62748
58	3926	62619
59	3994	62581
60	4061	62515
61	4124	62404
62	4191	62343
63	4249	62151
64	4309	61996
65	4388	62104
66	4449	61954
67	4529	62082
68	4593	61981
69	4655	61857
70	4721	61783
71	4800	61869
72	4859	61708
73	4921	61588
74	4987	61516
75	5044	61331
76	5114	61310
77	5180	61236
78	5234	61025
79	5294	60882
80	5354	60747
81	5412	60595
82	5468	60416
83	5525	60257
84	5599	60280
85	5665	60208
86	5724	60070
87	5783	59935
88	5844	59819
89	5919	59857
90	6002	59959
91	6069	59904
92	6150	59981
93	6245	60198
94	6319	60205
95	6398	60251
96	6464	60178
97	6535	60152
98	6609	60153
99	6681	60132
100	6760	60172
101	6837	60199
102	6920	60265
103	6987	60196
104	7057	60160
105	7115	60010
106	7165	59799
107	7219	59629
108	7287	59567
109	7347	59446
110	7419	59424
111	7480	59312
112	7543	59215
113	7608	59129
114	7659	58942
115	7709	58748
116	7762	58584
117	7819	58446
118	7906	58534
119	7954	58336
120	8034	58368
121	8088	58211
122	8136	58010
123	8190	57860
124	8251	57763
125	8307	57627
126	8356	57442
127	8415	57332
128	8467	57174
129	8531	57097
130	8592	57002
131	8663	56969
132	8740	56975
133	8800	56872
134	8866	56814
135	8926	56711
136	8979	56563
137	9036	56443
138	9102	56380
139	9155	56239
140	9209	56107
141	9279	56068
142	9343	55998
143	9406	55915
144	9467	55827
145	9532	55756
146	9603	55727
147	9663	55632
148	9716	55497
149	9772	55378
150	9823	55230
151	9887	55163
152	9945	55057
153	10002	54947
154	10065	54874
155	10124	54778
156	10174	54631
157	10228	54511
158	10290	54428
159	10349	54334
160	10417	54286
161	10480	54216
162	10531	54077
163	10580	53936
164	10643	53860
165	10706	53790
166	10767	53707
167	10824	53607
168	10887	53535
169	10946	53445
170	11014	53395
171	11068	53283
172	11131	53211
173	11195	53147
174	11249	53032
175	11298	52899
176	11367	52857
177	11426	52766
178	11505	52772
179	11584	52773
180	11656	52742
181	11722	52686
182	11794	52658
183	11897	52763
184	11975	52756
185	12069	52820
186	12166	52893
187	12239	52862
188	12292	52746
189	12361	52697
190	12442	52699
191	12526	52714
192	12607	52714
193	12672	52647
194	12747	52623
195	12828	52622
196	12912	52631
197	13001	52664
198	13081	52654
199	13152	52610
200	13216	52535
201	13291	52509
202	13369	52488
203	13421	52368
204	13493	52327
205	13555	52246
206	13628	52211
207	13687	52116
208	13740	52005
209	13792	51885
210	13842	51760
211	13918	51734
212	13980	51654
213	14053	51616
214	14125	51573
215	14181	51472
216	14227	51336
217	14292	51269
218	14387	51310
219	14439	51195
220	14497	51100
221	14553	51004
222	14614	50921
223	14681	50861
224	14738	50764
225	14818	50749
226	14887	50696
227	14961	50659
228	15038	50631
229	15103	50565
230	15169	50497
231	15246	50471
232	15293	50343
233	15351	50252
234	15414	50178
235	15507	50201
236	15568	50120
237	15626	50031
238	15687	49949
239	15746	49863
240	15815	49810
241	15894	49784
242	15964	49734
243	16059	49758
244	16130	49708
245	16202	49661
246	16280	49632
247	16335	49534
248	16388	49428
249	16449	49348
250	16511	49270
251	16583	49223
252	16649	49157
253	16716	49097
254	16775	49010
255	16826	48903
256	16877	48793
257	16933	48698
258	16984	48592
259	17039	48496
260	17088	48383
261	17144	48292
262	17203	48208
263	17274	48159
264	17322	48045
265	17369	47929
266	17428	47846
267	17475	47732
268	17530	47639
269	17585	47544
270	17642	47459
271	17699	47371
272	17755	47283
273	17815	47204
274	17882	47144
275	17941	47062
276	18035	47074
277	18089	46979
278	18144	46889
279	18210	46826
280	18278	46770
281	18349	46719
282	18413	46653
283	18474	46576
284	18545	46526
285	18617	46479
286	18677	46401
287	18742	46336
288	18804	46262
289	18870	46200
290	18940	46147
291	19007	46087
292	19071	46018
293	19129	45935
294	19203	45893
295	19284	45865
296	19346	45793
297	19407	45717
298	19469	45645
299	19526	45560
300	19597	45510
301	19679	45483
302	19751	45435
303	19817	45371
304	19884	45309
305	19954	45256
306	20035	45226
307	20090	45137
308	20142	45042
309	20193	44947
310	20242	44846
311	20298	44761
312	20374	44718
313	20420	44612
314	20476	44529
315	20528	44435
316	20589	44361
317	20640	44267
318	20706	44204
319	20774	44145
320	20820	44041
321	20868	43940
322	20928	43865
323	20992	43798
324	21058	43736
325	21113	43651
326	21169	43568
327	21222	43480
328	21283	43407
329	21333	43313
330	21384	43220
331	21434	43127
332	21482	43029
333	21534	42939
334	21593	42864
335	21640	42764
336	21699	42690
337	21754	42607
338	21809	42525
339	21865	42444
340	21913	42349
341	21970	42270
342	22036	42209
343	22090	42125
344	22136	42027
345	22190	41943
346	22248	41867
347	22306	41792
348	22359	41708
349	22415	41629
350	22471	41550
351	22535	41486
352	22591	41407
353	22635	41307
354	22691	41228
355	22754	41162
356	22807	41078
357	22864	41003
358	22929	40940
359	22991	40873
360	23049	40799
361	23106	40723
362	23158	40639
363	23209	40553
364	23256	40460
365	23331	40415
366	23382	40329
367	23434	40246
368	23490	40168
369	23539	40080
370	23596	40005
371	23652	39929
372	23707	39851
373	23763	39775
374	23817	39695
375	23871	39616
376	23933	39549
377	23982	39462
378	24030	39373
379	24088	39302
380	24146	39230
381	24210	39167
382	24271	39100
383	24323	39019
384	24378	38942
385	24425	38853
386	24483	38780
387	24549	38722
388	24603	38645
389	24665	38578
390	24719	38502
391	24776	38429
392	24830	38351
393	24883	38272
394	24953	38220
395	25010	38147
396	25066	38073
397	25123	38000
398	25181	37929
399	25253	37879
400	25301	37794
401	25360	37724
402	25416	37652
403	25472	37578
404	25520	37493
405	25574	37416
406	25625	37336
407	25672	37250
408	25720	37165
409	25779	37097
410	25827	37013
411	25880	36936
412	25927	36850
413	25990	36788
414	26048	36718
415	26099	36640
416	26145	36554
417	26197	36476
418	26253	36404
419	26300	36319
420	26349	36237
421	26413	36177
422	26463	36098
423	26514	36019
424	26562	35938
425	26616	35863
426	26661	35777
427	26725	35716
428	26785	35651
429	26850	35591
430	26898	35511
431	26952	35437
432	27009	35368
433	27069	35303
434	27127	35234
435	27186	35168
436	27241	35095
437	27295	35022
438	27351	34952
439	27410	34886
440	27460	34808
441	27506	34725
442	27552	34642
443	27611	34576
444	27668	34507
445	27717	34429
446	27774	34360
447	27828	34288
448	27880	34214
449	27934	34141
450	27986	34067
451	28052	34010
452	28108	33941
453	28161	33868
454	28221	33803
455	28270	33726
456	28324	33654
457	28383	33589
458	28442	33523
459	28486	33440
460	28546	33376
461	28603	33308
462	28661	33241
463	28720	33177
464	28774	33106
465	28836	33044
466	28882	32964
467	28934	32891
468	28994	32827
469	29043	32751
470	29092	32674
471	29144	32602
472	29206	32541
473	29258	32468
474	29309	32394
475	29359	32320
476	29421	32258
477	29475	32188
478	29532	32121
479	29584	32049
480	29630	31971
481	29684	31901
482	29734	31827
483	29801	31771
484	29854	31700
485	29910	31633
486	29964	31564
487	30012	31488
488	30070	31422
489	30126	31355
490	30192	31299
491	30240	31224
492	30294	31154
493	30342	31079
494	30394	31008
495	30445	30936
496	30501	30869
497	30553	30798
498	30608	30731
499	30675	30675
500	30728	30606
501	30781	30535
502	30848	30480
503	30902	30412
504	30949	30336
505	31001	30266
506	31058	30201
507	31105	30125
508	31158	30056
509	31218	29994
510	31270	29924
511	31331	29862
512	31385	29795
513	31439	29726
514	31511	29675
515	31562	29605
516	31624	29544
517	31682	29480
518	31740	29416
519	31791	29346
520	31836	29269
521	31891	29203
522	31940	29130
523	31990	29059
524	32037	28986
525	32093	28920
526	32147	28853
527	32200	28785
528	32255	28718
529	32312	28654
530	32357	28579
531	32409	28510
532	32460	28440
533	32522	28381
534	32571	28309
535	32629	28246
536	32679	28176
537	32732	28108
538	32771	28028
539	32827	27964
540	32894	27908
541	32943	27837
542	33017	27788
543	33078	27727
544	33136	27664
545	33187	27595
546	33235	27523
547	33289	27457
548	33349	27396
549	33405	27331
550	33461	27267
551	33517	27202
552	33571	27136
553	33622	27067
554	33682	27006
555	33736	26940
556	33786	26871
557	33848	26811
558	33914	26755
559	33963	26685
560	34017	26619
561	34062	26546
562	34114	26479
563	34166	26412
564	34231	26354
565	34305	26305
566	34362	26241
567	34428	26185
568	34495	26128
569	34554	26067
570	34598	25993
571	34660	25935
572	34744	25891
573	34814	25837
574	34863	25768
575	34916	25702
576	34973	25639
577	35036	25580
578	35088	25513
579	35138	25445
580	35182	25372
581	35253	25319
582	35316	25260
583	35378	25200
584	35443	25143
585	35495	25076
586	35548	25011
587	35614	24954
588	35668	24889
589	35737	24834
590	35815	24785
591	35867	24719
592	35928	24659
593	35975	24589
594	36039	24530
595	36085	24460
596	36158	24408
597	36242	24363
598	36317	24312
599	36384	24256
600	36449	24198
601	36496	24128
602	36554	24066
603	36622	24011
604	36673	23943
605	36733	23882
606	36785	23816
607	36858	23764
608	36925	23707
609	36988	23648
610	37050	23588
611	37102	23522
612	37157	23458
613	37206	23390
614	37260	23325
615	37312	23259
616	37357	23189
617	37409	23123
618	37466	23060
619	37513	22992
620	37561	22924
621	37615	22859
622	37673	22797
623	37717	22727
624	37766	22659
625	37813	22591
626	37881	22535
627	37932	22469
628	37977	22400
629	38035	22338
630	38094	22276
631	38154	22216
632	38215	22156
633	38268	22092
634	38323	22028
635	38370	21960
636	38417	21892
637	38476	21831
638	38527	21765
639	38587	21705
640	38636	21638
641	38687	21573
642	38738	21508
643	38797	21446
644	38850	21382
645	38906	21320
646	38960	21256
647	39002	21186
648	39051	21120
649	39105	21056
650	39153	20990
651	39197	20921
652	39242	20853
653	39313	20799
654	39362	20732
655	39406	20664
656	39453	20597
657	39515	20538
658	39566	20473
659	39612	20406
660	39673	20346
661	39719	20279
662	39771	20215
663	39815	20147
664	39875	20087
665	39970	20045
666	40030	19985
667	40080	19920
668	40132	19856
669	40185	19792
670	40231	19726
671	40293	19667
672	40344	19602
673	40393	19537
674	40447	19474
675	40500	19411
676	40552	19347
677	40605	19284
678	40664	19224
679	40721	19163
680	40771	19098
681	40822	19034
682	40869	18968
683	40919	18904
684	40977	18843
685	41035	18783
686	41085	18718
687	41143	18658
688	41224	18607
689	41306	18558
690	41380	18504
691	41469	18457
692	41527	18396
693	41587	18336
694	41638	18272
695	41695	18211
696	41763	18155
697	41819	18093
698	41897	18041
699	41980	17991
700	42049	17935
701	42104	17873
702	42156	17810
703	42226	17754
704	42292	17696
705	42355	17638
706	42440	17588
707	42512	17533
708	42591	17481
709	42680	17432
710	42758	17380
711	42850	17332
712	42942	17285
713	43051	17244
714	43179	17211
715	43266	17161
