store,address,,,phone,address2,Latitude,Longitude
학동역 DT점,서울시 강남구 학동로 211 1층,,,02-3444-9973,서울특별시 강남구 학동로 211 1층,37.5146474,127.0320468
차병원점,서울시 강남구 논현로 566 강남차병원1층,,,02-538-7615,서울특별시 강남구 논현로 566 강남차병원1층,37.5065713,127.0348
강남대로점,서울시 서초구 강남대로 369 1층,,,02-588-5778,서울특별시 서초구 강남대로 369 1층,37.4956154,127.0282032
강남에스점,서울시 서초구 서초 1306-3호,,,02-593-5095,서울특별시 서초구 서초 1306-3호,37.49184,127.007688
청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ",,,02-548-6052,"서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호",37.5252633,127.0471584
신사점,서울시 강남구 도산대로 126,,,02-548-2741,서울특별시 강남구 도산대로 126,37.5169242,127.0223976
압구정역점,서울시 강남구 논현로 842 압구정빌딩1층,,,02-544-6823,서울특별시 강남구 논현로 842 압구정빌딩1층,37.5240001,127.0287323
역삼점,"서울시 강남구 논현로 512  지상1,2층  ",,,02-569-8051,"서울특별시 강남구 논현로 512 지상1,2층",37.5022999,127.0365096
양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층,,,02-578-6833,서울특별시 서초구 강남대로 213 24호 지하1층,37.482717,127.0349215
청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층,,,02-542-2053,서울특별시 강남구 삼성로 716 LEE76빌딩2층,37.4889348,127.0679352
영동점,서울 서초구 반포동 736-17 P빌딩 2층,,,02-3443-2096,서울특별시 서초구 반포동 736-17 P빌딩 2층,37.5068042,127.0227988
도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호  ",,,02-572-2781,"서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호",37.4881509,127.0528748
영동고앞점,"서울시 강남구 선릉로 749 1,2층  ",,,02-544-3794,"서울특별시 강남구 선릉로 749 1,2층",37.5214441,127.0394571
압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호  ",,,02-543-5922,"서울특별시 강남구 도산대로49길 13 1층 17,18호",37.5236973,127.0369789
압구정로데오점,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층,,,02-3445-5093,서울특별시 강남구 선릉로 157길 12 석전빌딩 1~4층,37.5260686,127.0390203
서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층,,,02-582-0158,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,37.4912666,127.0302496
논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층,,,02-513-3870,서울특별시 강남구 논현 231-13호 팍스타워지하1층,37.5100034,127.0365611
삼성오크우드점,서울 강남구 영동대로 513 컨벤션별관A동 지하 2층,,,02-3466-8507,서울특별시 강남구 영동대로 513 컨벤션별관A동 지하 2층,37.5095948,127.0594292
트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층,,,02-6002-6470,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,37.5103238,127.0610228
삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층  ",,,02-3443-5618,"서울특별시 강남구 영동대로 607 1,2층",37.5145239,127.0594748
반포엘루체점,서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,,,02-3477-5571,서울특별시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,37.5017064,126.9872169
잠실신천점,서울시 송파구 석촌호수로 118 1층,,,02-416-9520,서울특별시 송파구 석촌호수로 118 1층,37.5073916,127.0900171
서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호  ",,,02-3477-5580,"서울특별시 서초구 서초동 1685-8호 101~2호,113~4호,121호",37.4954141,127.0164028
논현동수면센터점,서울시 강남구 논현로 717 1층,,,02-3443-5575,서울특별시 강남구 논현로 717 1층,37.5159215,127.0295236
삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층,,,02-2055-1142,서울특별시 서초구 서초대로74길 11 지하2층,37.4966085,127.0269023
삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,,,02-581-5562,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,37.4967103,127.0256999
방배카페골목점,서울특별시 서초구 방배중앙로 187,,,02-592-7794,서울특별시 서초구 방배중앙로 187,37.4956811,126.9855319
역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층,,,02-554-9962,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층,37.4990484,127.0341289
테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층,,,02-538-9927,서울특별시 강남구 테헤란로 70길 12 1층,37.5047023,127.0531444
삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층,,,02-538-4523,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,37.5145705,127.0641848
