,SN,TITLE,CONTENT,VOTE_SCORE,REG_DATE
0,193394.0,신내능산공원 계단의 손잡이 설치,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193394,0.0,2022-10-14 19:28:47.0
1,193390.0,공공장소 철봉 구름다리 평행봉 푸쉬업바 설치,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193390,0.0,2022-10-14 13:30:50.0
2,193389.0,서대문구의 공공쓰레기통의 개수를 늘려 주십시오,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193389,0.0,2022-10-14 01:11:39.0
3,193387.0,차량 신호등 및 보행자 신호등의 가림막 내부 반사판 설치로 시인성 확보,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193387,33.0,2022-10-13 17:10:14.0
4,193386.0,test,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193386,0.0,2022-10-13 16:58:00.0
5,193385.0,test,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193385,0.0,2022-10-13 16:56:46.0
6,193384.0,TEST,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193384,0.0,2022-10-13 16:52:14.0
7,193383.0,TEST,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193383,0.0,2022-10-13 16:51:03.0
8,193382.0,test,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193382,0.0,2022-10-13 16:49:17.0
9,193381.0,test,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193381,0.0,2022-10-13 16:36:54.0
10,193380.0,test,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193380,0.0,2022-10-13 16:34:13.0
11,193379.0,test,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193379,0.0,2022-10-13 16:15:07.0
12,193378.0,추위에 대하여,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193378,0.0,2022-10-13 13:22:11.0
13,193377.0,송현공원 관련 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193377,0.0,2022-10-13 13:19:38.0
14,193376.0,중장년의 기회를 빼앗는 청약제도 개선,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193376,0.0,2022-10-13 10:36:11.0
15,193372.0,버스와 지하철을 탈 때 더 여유있게 카드를 찍는 대신 하이패스처럼 후 청구가 되길,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193372,0.0,2022-10-12 13:01:11.0
16,193371.0,미세먼지 취약계층(임산부) 지원으로 안전한 환경조성,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193371,0.0,2022-10-12 07:23:32.0
17,193370.0,실내공공장소 마스크 착용 홍보 캠페인 운영,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193370,5.0,2022-10-11 10:53:43.0
18,193369.0,성북구재활센터 현장방문감사드려요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193369,0.0,2022-10-10 00:53:48.0
19,193368.0,"서울이 저희 할머니, 할아버지의 지팡이가 되어 주세요.",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193368,0.0,2022-10-09 18:50:58.0
20,193367.0,경춘선 철길에 레일바이크를,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193367,0.0,2022-10-09 11:34:12.0
21,193366.0,서울세계불꽃축제에 대한 의견,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193366,0.0,2022-10-09 11:19:41.0
22,193365.0,답십리 마장 연결 육교 또는 보행로 설치,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193365,1.0,2022-10-09 09:02:04.0
23,193364.0,서울 한강 야강 드론쇼,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193364,0.0,2022-10-09 07:21:10.0
24,193363.0,무정차통과,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193363,0.0,2022-10-09 02:10:43.0
25,193362.0,어르신 교통카드 전철 무료 버스 무료 탑승 원합니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193362,0.0,2022-10-08 16:47:59.0
26,193361.0,전철 교통 불편 해소 요망,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193361,0.0,2022-10-08 16:47:22.0
27,193360.0,시장님 어르신카드 할인 버스도 연동되게 해주세요 부탁드립니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193360,0.0,2022-10-08 16:46:22.0
28,193359.0,시니어카드 환승연결 해 주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193359,0.0,2022-10-08 16:44:58.0
29,193358.0,깨끗한 거리 조성,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193358,0.0,2022-10-08 16:44:16.0
30,193357.0,어르신교통카드,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193357,0.0,2022-10-08 16:43:22.0
31,193356.0,한강공원 인접 도로 터널형 방음벽 설치 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193356,1.0,2022-10-07 15:20:19.0
32,193354.0,택시 리스제에 대해,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193354,5.0,2022-10-05 19:38:39.0
33,193353.0,개인택시 가족 운행.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193353,0.0,2022-10-05 14:45:13.0
34,193352.0,자전거도로  점선추월차선 표시,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193352,6.0,2022-10-05 14:28:59.0
35,193327.0,마포 쓰레기소각장 관련 부서 답변이 매우 불만족스럽네요.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193327,0.0,2022-10-04 15:36:54.0
36,193325.0,서울런 가입 조건 확대(병역기간 고려),https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193325,0.0,2022-10-04 13:18:30.0
37,193324.0,한강 야간경관 제안(한강에서 고래를 본다면),https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193324,0.0,2022-10-03 22:01:42.0
38,193323.0,포괄적차별금지법 절대반대합니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193323,0.0,2022-10-03 20:10:15.0
39,193322.0,서울역정비 및 자전거투어,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193322,1.0,2022-10-03 09:28:51.0
40,193321.0,버스총량제 고쳐야 합니다 서리풀 터널 노선이 대표적인 곳 입니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193321,1.0,2022-10-02 19:37:27.0
41,193320.0,새로운 트레일러 새로운 트랙터,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193320,1.0,2022-10-02 17:19:00.0
42,193319.0,서울시에다 뉴스와 관련하여 새로운 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193319,1.0,2022-10-02 17:09:03.0
43,193318.0,"광화문 광장 , 청계천 집회 문제",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193318,1.0,2022-10-02 16:42:29.0
44,193317.0,도시자연공원구역지 매수 시민참여운동전개,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193317,3.0,2022-10-02 04:31:44.0
45,193316.0,비둘기 응집에 관하여 정책제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193316,0.0,2022-10-01 18:31:16.0
46,193315.0,광화문광장 관련 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193315,0.0,2022-09-30 09:07:26.0
47,193313.0,서울페이+  비대면 결제시 이용자가 적은 비고 내용을 가맹점주가 확인할 수 있도록 시스템을 개선해 주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193313,0.0,2022-09-29 14:06:03.0
48,193311.0,청소년 교통비 지원 정책,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193311,1.0,2022-09-27 23:07:21.0
49,193310.0,도심재개발과 녹지 확대,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193310,1.0,2022-09-27 16:12:51.0
50,193309.0,마포 소각장 전면백지화 제안합니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193309,3.0,2022-09-27 15:50:22.0
51,193308.0,학교앞과 우회전 사고 예방책,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193308,0.0,2022-09-27 14:13:35.0
52,193307.0,자원봉사의 다양성및접근성확대,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193307,1.0,2022-09-27 12:10:08.0
53,193306.0,출산율 1위 서울,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193306,2.0,2022-09-27 10:53:55.0
54,193305.0,도시 개발에 우리문화 살리기,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193305,1.0,2022-09-27 10:25:17.0
55,193304.0,야간 도로 표시등,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193304,4.0,2022-09-27 10:12:43.0
56,193303.0,청소년 인생코칭: 물고기보다 물고기 잡는 법을 ...,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193303,0.0,2022-09-27 06:19:10.0
57,193302.0,서울시 강아지 공원(펫파크)를 늘려주세요!,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193302,6.0,2022-09-27 03:07:39.0
58,193301.0,"한강공원에 펫존, 어린이존을 구분해주세요",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193301,0.0,2022-09-23 21:11:09.0
59,193300.0,마포구 소각장 추가 설립 철회 요청,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193300,4.0,2022-09-23 19:56:15.0
