,CustomerID,Freq,SaleAmount,ElapsedDays,Freq_log,SaleAmount_log,ElapsedDays_log,ClusterLabel
0,12346,1,74215,326,0.6931471805599453,11.214735039333107,5.7899601708972535,3
1,12347,182,2458,3,5.209486152841421,7.807510042216193,1.3862943611198906,2
2,12348,31,2341,76,3.4657359027997265,7.758760544157663,4.343805421853684,3
3,12349,73,631,19,4.30406509320417,6.448889394146858,2.995732273553991,0
4,12350,17,197,311,2.8903717578961645,5.288267030694535,5.7430031878094825,1
5,12352,85,536,37,4.454347296253507,6.285998094508865,3.6375861597263857,3
6,12353,4,20,205,1.6094379124341003,3.044522437723423,5.327876168789581,1
7,12354,58,530,233,4.07753744390572,6.274762021241939,5.455321115357702,3
8,12355,13,240,215,2.6390573296152584,5.484796933490655,5.375278407684165,1
9,12356,59,1591,23,4.0943445622221,7.3727463664043285,3.1780538303479458,2
10,12357,131,2708,34,4.882801922586371,7.904334842085095,3.5553480614894135,2
11,12358,19,248,2,2.995732273553991,5.517452896464707,1.0986122886681098,0
12,12359,245,1609,58,5.5053315359323625,7.383989457978509,4.07753744390572,2
13,12360,129,1165,53,4.867534450455582,7.061334366910438,3.9889840465642745,3
14,12361,10,91,288,2.3978952727983707,4.5217885770490405,5.666426688112432,1
15,12362,266,2229,4,5.58724865840025,7.709756864454165,1.6094379124341003,2
16,12363,23,408,110,3.1780538303479458,6.013715156042802,4.709530201312334,3
17,12364,85,1506,8,4.454347296253507,7.317876198626496,2.1972245773362196,2
18,12365,22,174,292,3.1354942159291497,5.1647859739235145,5.680172609017068,1
19,12367,11,173,5,2.4849066497880004,5.159055299214529,1.791759469228055,0
20,12370,166,2352,52,5.117993812416755,7.763446388727362,3.970291913552122,2
21,12371,63,591,45,4.1588830833596715,6.3835066348840055,3.828641396489095,3
22,12372,52,794,72,3.970291913552122,6.678342114654332,4.290459441148391,3
23,12373,14,197,312,2.70805020110221,5.288267030694535,5.746203190540153,1
24,12374,33,342,26,3.5263605246161616,5.8377304471659395,3.295836866004329,0
25,12375,17,178,11,2.8903717578961645,5.187385805840755,2.4849066497880004,0
26,12377,77,944,316,4.356708826689592,6.851184927493743,5.75890177387728,3
27,12378,219,2529,130,5.393627546352362,7.835974581721566,4.875197323201151,3
28,12379,40,407,82,3.713572066704308,6.0112671744041615,4.418840607796598,3
29,12380,104,1127,22,4.653960350157523,7.028201432058005,3.1354942159291497,2
30,12381,87,808,5,4.477336814478207,6.695798917058491,1.791759469228055,2
31,12383,99,1532,185,4.605170185988092,7.334981878871814,5.225746673713202,3
32,12384,27,126,29,3.332204510175204,4.844187086458591,3.4011973816621555,0
33,12386,10,354,338,2.3978952727983707,5.872117789475416,5.82600010738045,1
34,12388,100,1462,16,4.61512051684126,7.288244401020124,2.833213344056216,2
35,12390,32,353,80,3.4965075614664802,5.869296913133774,4.394449154672439,3
36,12391,93,293,22,4.543294782270004,5.683579767338681,3.1354942159291497,0
37,12393,64,816,73,4.174387269895637,6.705639094860003,4.30406509320417,3
38,12394,27,819,64,3.332204510175204,6.709304340258298,4.174387269895637,3
39,12395,156,2118,20,5.056245805348308,7.6586995582682995,3.044522437723423,2
40,12397,126,1263,36,4.844187086458591,7.142036574706803,3.6109179126442243,2
41,12398,85,1394,46,4.454347296253507,7.240649694255466,3.8501476017100584,3
42,12399,59,1178,120,4.0943445622221,7.072421900537371,4.795790545596741,3
43,12401,5,11,304,1.791759469228055,2.4849066497880004,5.720311776607412,1
44,12402,11,94,324,2.4849066497880004,4.553876891600541,5.783825182329737,1
45,12403,5,96,50,1.791759469228055,4.574710978503383,3.9318256327243257,1
46,12405,54,857,149,4.007333185232471,6.754604099487962,5.0106352940962555,3
47,12406,105,1818,23,4.663439094112067,7.506042178518122,3.1780538303479458,2
48,12407,77,1416,50,4.356708826689592,7.256297239690681,3.9318256327243257,3
49,12408,105,1409,33,4.663439094112067,7.251344983372214,3.5263605246161616,2
50,12409,109,5551,79,4.700480365792417,8.62191350218664,4.382026634673881,2
51,12410,26,211,309,3.295836866004329,5.356586274672012,5.736572297479192,1
52,12412,61,829,75,4.127134385045092,6.721425700790643,4.330733340286331,3
53,12413,38,286,67,3.6635616461296463,5.659482215759621,4.219507705176107,3
54,12414,18,300,218,2.9444389791664403,5.707110264748875,5.389071729816501,1
55,12415,714,77374,25,6.5722825426940075,11.256419009986898,3.258096538021482,2
56,12417,192,1552,4,5.262690188904886,7.347943823148687,1.6094379124341003,2
57,12418,34,407,113,3.5553480614894135,6.0112671744041615,4.736198448394496,3
58,12420,29,345,64,3.4011973816621555,5.846438775057725,4.174387269895637,3
59,12421,45,484,16,3.828641396489095,6.184148890937483,2.833213344056216,0
60,12422,39,370,96,3.6888794541139363,5.916202062607435,4.574710978503383,3
61,12423,125,1339,1,4.836281906951478,7.200424892944957,0.6931471805599453,2
62,12424,30,740,163,3.4339872044851463,6.608000625296087,5.099866427824199,3
63,12425,36,496,79,3.6109179126442243,6.208590026096629,4.382026634673881,3
64,12426,30,258,195,3.4339872044851463,5.556828061699537,5.278114659230517,3
65,12427,31,533,22,3.4657359027997265,6.280395838960195,3.1354942159291497,0
66,12428,294,3536,26,5.68697535633982,8.17103418920548,3.295836866004329,2
67,12429,97,1557,10,4.584967478670572,7.351158226430694,2.3978952727983707,2
68,12430,11,117,44,2.4849066497880004,4.770684624465665,3.8066624897703196,1
69,12431,234,2896,36,5.459585514144159,7.9714309977693505,3.6109179126442243,2
70,12432,108,1801,43,4.6913478822291435,7.496652438168283,3.784189633918261,2
71,12433,420,11071,1,6.042632833682381,9.31217467785745,0.6931471805599453,2
72,12434,50,394,85,3.9318256327243257,5.978885764901122,4.454347296253507,3
73,12435,36,2055,80,3.6109179126442243,7.628517626575055,4.394449154672439,3
74,12436,16,211,100,2.833213344056216,5.356586274672012,4.61512051684126,1
75,12437,199,2922,2,5.298317366548036,7.980365765111246,1.0986122886681098,2
76,12438,98,1180,15,4.59511985013459,7.074116816197362,2.772588722239781,2
77,12441,11,121,367,2.4849066497880004,4.804021044733257,5.908082938168931,1
78,12442,12,182,4,2.5649493574615367,5.209486152841421,1.6094379124341003,0
79,12444,176,1153,22,5.176149732573829,7.050989447068045,3.1354942159291497,2
80,12445,4,62,23,1.6094379124341003,4.143134726391533,3.1780538303479458,1
81,12446,57,351,58,4.060443010546419,5.863631175598097,4.07753744390572,3
82,12447,26,190,244,3.295836866004329,5.25227342804663,5.501258210544727,1
83,12448,22,243,45,3.1354942159291497,5.497168225293202,3.828641396489095,0
84,12449,191,1553,23,5.2574953720277815,7.348587530927593,3.1780538303479458,2
85,12450,8,128,157,2.1972245773362196,4.859812404361672,5.062595033026967,1
86,12451,354,6575,11,5.872117789475416,8.791181936736017,2.4849066497880004,2
87,12452,22,185,17,3.1354942159291497,5.225746673713202,2.8903717578961645,0
88,12453,43,473,135,3.784189633918261,6.161207321695077,4.912654885736052,3
89,12454,15,1006,57,2.772588722239781,6.914730892718563,4.060443010546419,3
90,12455,90,2089,74,4.51085950651685,7.644919344958857,4.31748811353631,3
91,12456,125,1633,45,4.836281906951478,7.3987862754199485,3.828641396489095,2
92,12457,62,843,67,4.143134726391533,6.738152494595957,4.219507705176107,3
93,12458,38,506,72,3.6635616461296463,6.2285110035911835,4.290459441148391,3
94,12461,35,287,95,3.58351893845611,5.662960480135946,4.564348191467836,3
95,12462,62,536,19,4.143134726391533,6.285998094508865,2.995732273553991,0
96,12463,83,776,54,4.430816798843313,6.655440350367647,4.007333185232471,3
97,12464,29,112,11,3.4011973816621555,4.727387818712341,2.4849066497880004,0
98,12465,47,479,18,3.871201010907891,6.173786103901937,2.9444389791664403,0
99,12468,38,366,188,3.6635616461296463,5.905361848054571,5.241747015059643,3
100,12471,459,8200,3,6.131226489483141,9.012011377036412,1.3862943611198906,2
101,12472,339,4148,33,5.8289456176102075,8.330622620332868,3.5263605246161616,2
102,12473,167,2414,30,5.123963979403259,7.789454566086673,3.4339872044851463,2
103,12474,422,4833,18,6.0473721790462776,8.483429561263428,2.9444389791664403,2
104,12475,36,535,54,3.6109179126442243,6.284134161070802,4.007333185232471,3
105,12476,233,2408,16,5.455321115357702,7.786967002614872,2.833213344056216,2
106,12477,300,3653,23,5.707110264748875,8.203577736937952,3.1780538303479458,2
107,12478,36,236,4,3.6109179126442243,5.4680601411351315,1.6094379124341003,0
108,12479,31,385,12,3.4657359027997265,5.955837369464831,2.5649493574615367,0
109,12480,154,1707,29,5.043425116919247,7.443078374348516,3.4011973816621555,2
110,12481,216,3294,23,5.37989735354046,8.100161446936607,3.1780538303479458,2
111,12483,75,1110,18,4.330733340286331,7.01301578963963,2.9444389791664403,2
112,12484,343,2187,33,5.840641657373398,7.690743163541872,3.5263605246161616,2
113,12488,55,529,10,4.02535169073515,6.272877006546167,2.3978952727983707,0
114,12489,15,105,337,2.772588722239781,4.663439094112067,5.823045895483019,1
115,12490,245,3064,6,5.5053315359323625,8.027802848370312,1.9459101490553132,2
116,12491,26,260,39,3.295836866004329,5.564520407322694,3.6888794541139363,0
117,12492,20,192,64,3.044522437723423,5.262690188904886,4.174387269895637,1
118,12493,22,207,166,3.1354942159291497,5.337538079701318,5.117993812416755,1
119,12494,77,707,16,4.356708826689592,6.56244409369372,2.833213344056216,0
120,12497,14,1236,82,2.70805020110221,7.1204443723924875,4.418840607796598,3
121,12498,23,159,22,3.1780538303479458,5.075173815233827,3.1354942159291497,0
